SNR,RA,DEC,Radius,D,Derr,Ak/kpc,Rating,Ak,AG
G296.1-0.5,177.79,-62.57,0.31,3.8,0.5,0.09,C,0.342,3.23874
G301.4-1.0,189.48,-63.82,0.31,2.74,0.55,0.12,A,0.3288,3.113736
G308.8-0.1,205.63,-62.38,0.25,3.92,0.6,0.28,A,1.0976,10.394272
G309.8+0.0,207.63,-62.08,0.21,3.12,0.22,0.38,A,1.1856,11.227632
G312.4-0.4a,213.25,-61.73,0.32,4.41,0.5,0.25,C,1.1025,10.440675
G315.4-0.3,218.98,-60.6,0.2,3.31,0.28,0.26,C,0.8606,8.149882
G315.9+0.0,219.6,-60.18,0.21,3.71,0.18,0.61,A,2.2631,21.431557
G316.3+0.0,220.38,-60,0.24,3.84,0.3,0.55,C,2.112,20.00064
G318.2+0.1,223.71,-59.07,0.33,3.27,0.44,0.45,A,1.4715,13.935105
G318.9+0.4,224.63,-58.48,0.25,3.5,0.32,0.28,A,0.98,9.2806
G320.4-1.2,228.63,-59.13,0.29,3,0.45,0.08,C,0.24,2.2728
G320.6-1.6,229.46,-59.27,0.5,3.18,0.62,0.06,C,0.1908,1.806876
G321.9-0.3,230.17,-57.57,0.26,5.46,0.39,0.22,A,1.2012,11.375364
G321.9-1.1,230.94,-58.22,0.23,3.29,0.75,0.09,C,0.2961,2.804067
G327.4+0.4,237.08,-53.82,0.18,2.81,0.16,0.64,A,1.7984,17.030848
G327.1-1.1,238.6,-55.15,0.15,4.52,0.84,0.09,A,0.4068,3.852396
G329.7+0.4,240.33,-52.3,0.33,2.8,0.28,0.28,A,0.784,7.42448
G335.2+0.1,246.94,-48.78,0.18,3.91,0.49,0.49,C,1.9159,18.143573
G341.2+0.9,251.9,-43.78,0.18,4.3,0.43,0.28,A,1.204,11.40188
G343.1-0.7,255.1,-43.23,0.23,3.11,0.22,0.86,A,2.6746,25.328462
G347.3-0.5a,258.46,-39.75,0.54,4.56,0.58,0.09,B,0.4104,3.886488
G351.7+0.8,260.25,-35.45,0.15,3.35,0.11,0.64,A,2.144,20.30368
G355.4+0.7,262.83,-32.43,0.21,4.16,0.32,0.36,A,1.4976,14.182272
G353.6-0.7,263,-34.73,0.25,3.49,0.22,0.35,A,1.2215,11.567605
G357.7+0.3a,264.65,-30.73,0.2,3.79,0.21,0.66,B,2.5014,23.688258
G359.1-0.5a,266.38,-29.95,0.2,3.29,0.47,1.03,B,3.3887,32.090989
G359.0-0.9a,266.71,-30.27,0.19,3.49,0.36,0.6,A,2.094,19.83018
G3.8+0.3,268.23,-25.47,0.15,4.14,0.29,0.32,A,1.3248,12.545856
G6.1+1.2,268.73,-23.08,0.25,3.27,0.73,0.1,A,0.327,3.09669
G6.4-0.1a,270.13,-23.43,0.4,3.55,0.9,0.4,A,1.42,13.4474
G5.4-1.2a,270.54,-24.9,0.29,3.89,0.91,0.15,A,0.5835,5.525745
G6.5-0.4,270.55,-23.57,0.15,3.72,0.21,0.7,A,2.604,24.65988
G8.9+0.4,270.99,-21.05,0.2,3.54,0.62,0.27,A,0.9558,9.051426
G8.7-0.1a,271.38,-21.43,0.38,4.15,0.19,0.62,B,2.573,24.36631
G13.3-1.3,274.83,-18,0.58,4.76,0.93,0.1,C,0.476,4.50772
G15.1-1.6,276,-16.57,0.25,2.91,0.68,0.16,C,0.4656,4.409232
G19.1+0.2,276.23,-12.12,0.23,3.57,0.67,0.15,C,0.5355,5.071185
G18.9-1.1a,277.46,-12.97,0.28,5.47,0.79,0.25,B,1.3675,12.950225
G21.8-0.6a,278.19,-10.13,0.17,4.87,0.29,0.81,A,3.9447,37.356309
G22.7-0.2a,278.31,-9.22,0.22,4.72,0.26,1.33,A,6.2776,59.448872
G24.7+0.6a,278.54,-7.08,0.25,2.73,0.68,0.31,B,0.8463,8.014461
G23.3-0.3a,278.69,-8.8,0.23,3.38,0.26,1.34,A,4.5292,42.891524
G27.8+0.6a,279.96,-4.4,0.42,3.99,0.55,0.21,A,0.8379,7.934913
G30.7+1.0,281,-1.53,0.2,3.64,0.93,0.13,C,0.4732,4.481204
G25.1-2.3,281.29,-8,0.67,3.45,0.83,0.05,C,0.1725,1.633575
G32.1-0.9a,283.29,-1.13,0.33,4.65,0.56,0.11,A,0.5115,4.843905
G34.7-0.4a,284,1.37,0.29,2.66,0.71,0.49,B,1.3034,12.343198
G36.6-0.7,285.15,2.93,0.21,8.66,1.17,0.1,C,0.866,8.20102
G43.9+1.6,286.46,10.5,0.5,1.52,0.6,0.07,C,0.1064,1.007608
G38.7-1.3a,286.67,4.47,0.27,4.11,0.88,0.08,C,0.3288,3.113736
G40.5-0.5a,286.79,6.52,0.18,5.12,0.32,0.44,A,2.2528,21.334016
G42.8+0.6,286.83,9.08,0.2,4.24,0.93,0.13,C,0.5512,5.219864
G45.7-0.4,289.1,11.15,0.18,6.04,0.33,0.31,A,1.8724,17.731628
G49.2-0.7a,290.96,14.1,0.25,5.74,0.98,0.14,B,0.8036,7.610092
G55.0+0.3,293,19.83,0.17,10.18,1.28,0.09,C,0.9162,8.676414
G54.4-0.3a,293.33,18.93,0.33,6.64,1.25,0.13,A,0.8632,8.174504
G59.8+1.2,294.73,24.32,0.17,5.43,1.11,0.06,C,0.3258,3.085326
G65.1+0.6a,298.67,28.58,0.75,4.16,0.61,0.11,A,0.4576,4.333472
G66.0+0.0,299.46,29.05,0.26,3.93,0.71,0.09,A,0.3537,3.349539
G73.9+0.9a,303.56,36.2,0.23,4,0.69,0.14,A,0.56,5.3032
G85.4+0.7a,312.67,45.37,0.2,3.8,1.05,0.08,B,0.304,2.87888
G85.9-0.6,314.67,44.88,0.2,3.27,0.97,0.05,C,0.1635,1.548345
G93.7-0.2,322.33,50.83,0.67,4.29,0.45,0.17,A,0.7293,6.906471
